MonthDate,Price
2004-01-01,1131.130005
2004-02-01,1144.939941
2004-03-01,1126.209961
2004-04-01,1107.300049
2004-05-01,1120.680054
2004-06-01,1140.839966
2004-07-01,1101.719971
2004-08-01,1104.239990
2004-09-01,1114.579956
2004-10-01,1130.199951
2004-11-01,1173.819946
2004-12-01,1211.920044
2005-01-01,1181.270020
2005-02-01,1203.599976
2005-03-01,1180.589966
2005-04-01,1156.849976
2005-05-01,1191.500000
2005-06-01,1191.329956
2005-07-01,1234.180054
2005-08-01,1220.329956
2005-09-01,1228.810059
2005-10-01,1207.010010
2005-11-01,1249.479980
2005-12-01,1248.290039
2006-01-01,1280.079956
2006-02-01,1280.660034
2006-03-01,1294.869995
2006-04-01,1310.609985
2006-05-01,1270.089966
2006-06-01,1270.199951
2006-07-01,1276.660034
2006-08-01,1303.819946
2006-09-01,1335.849976
2006-10-01,1377.939941
2006-11-01,1400.630005
2006-12-01,1418.300049
2007-01-01,1438.239990
2007-02-01,1406.819946
2007-03-01,1420.859985
2007-04-01,1482.369995
2007-05-01,1530.619995
2007-06-01,1503.349976
2007-07-01,1455.270020
2007-08-01,1473.989990
2007-09-01,1526.750000
2007-10-01,1549.380005
2007-11-01,1481.140015
2007-12-01,1468.359985
2008-01-01,1378.550049
2008-02-01,1330.630005
2008-03-01,1322.699951
2008-04-01,1385.589966
2008-05-01,1400.380005
2008-06-01,1280.000000
2008-07-01,1267.380005
2008-08-01,1282.829956
2008-09-01,1166.359985
2008-10-01,968.750000
2008-11-01,896.239990
2008-12-01,903.250000
2009-01-01,825.880005
2009-02-01,735.090027
2009-03-01,797.869995
2009-04-01,872.809998
2009-05-01,919.140015
2009-06-01,919.320007
2009-07-01,987.479980
2009-08-01,1020.619995
2009-09-01,1057.079956
2009-10-01,1036.189941
2009-11-01,1095.630005
2009-12-01,1115.099976
2010-01-01,1073.869995
2010-02-01,1104.489990
2010-03-01,1169.430054
2010-04-01,1186.689941
2010-05-01,1089.410034
2010-06-01,1030.709961
2010-07-01,1101.599976
2010-08-01,1049.329956
2010-09-01,1141.199951
2010-10-01,1183.260010
2010-11-01,1180.550049
2010-12-01,1257.640015
2011-01-01,1286.119995
2011-02-01,1327.219971
2011-03-01,1325.829956
2011-04-01,1363.609985
2011-05-01,1345.199951
2011-06-01,1320.640015
2011-07-01,1292.280029
2011-08-01,1218.890015
2011-09-01,1131.420044
2011-10-01,1253.300049
2011-11-01,1246.959961
2011-12-01,1257.599976
2012-01-01,1312.410034
2012-02-01,1365.680054
2012-03-01,1408.469971
2012-04-01,1397.910034
2012-05-01,1310.329956
2012-06-01,1362.160034
2012-07-01,1379.319946
2012-08-01,1406.579956
2012-09-01,1440.670044
2012-10-01,1412.160034
2012-11-01,1416.180054
2012-12-01,1426.189941
2013-01-01,1498.109985
2013-02-01,1514.680054
2013-03-01,1569.189941
2013-04-01,1597.569946
2013-05-01,1630.739990
2013-06-01,1606.280029
2013-07-01,1685.729980
2013-08-01,1632.969971
2013-09-01,1681.550049
2013-10-01,1756.540039
2013-11-01,1805.810059
2013-12-01,1848.359985
2014-01-01,1782.589966
2014-02-01,1859.449951
2014-03-01,1872.339966
2014-04-01,1883.949951
2014-05-01,1923.569946
2014-06-01,1960.229980
2014-07-01,1930.670044
2014-08-01,2003.369995
2014-09-01,1972.290039
2014-10-01,2018.050049
2014-11-01,2067.560059
2014-12-01,2058.899902
2015-01-01,1994.989990
2015-02-01,2104.500000
2015-03-01,2067.889893
2015-04-01,2085.510010
2015-05-01,2107.389893
2015-06-01,2063.110107
2015-07-01,2103.840088
2015-08-01,1972.180054
2015-09-01,1920.030029
2015-10-01,2079.360107
2015-11-01,2080.409912
2015-12-01,2043.939941
2016-01-01,1940.239990
2016-02-01,1932.229980
2016-03-01,2059.739990
2016-04-01,2065.300049
2016-05-01,2096.949951
2016-06-01,2098.860107
2016-07-01,2173.600098
2016-08-01,2170.949951
2016-09-01,2168.270020
2016-10-01,2126.149902
2016-11-01,2198.810059
2016-12-01,2238.830078
2017-01-01,2278.870117
2017-02-01,2363.639893
2017-03-01,2362.719971
2017-04-01,2384.199951
2017-05-01,2411.800049
2017-06-01,2423.409912
2017-07-01,2470.300049
2017-08-01,2471.649902
2017-09-01,2519.360107
2017-10-01,2575.260010
2017-11-01,2647.580078
2017-12-01,2673.610107
2018-01-01,2823.810059
2018-02-01,2713.830078
2018-03-01,2640.870117
2018-04-01,2648.050049
2018-05-01,2705.270020
2018-06-01,2718.370117
2018-07-01,2816.290039
2018-08-01,2901.520020
2018-09-01,2913.979980
2018-10-01,2711.739990
2018-11-01,2760.169922
2018-12-01,2506.850098
2019-01-01,2704.100098
2019-02-01,2784.489990
2019-03-01,2834.399902
2019-04-01,2945.830078
2019-05-01,2752.060059
2019-06-01,2941.760010
2019-07-01,2980.379883
2019-08-01,2926.459961
2019-09-01,2976.739990
2019-10-01,3037.560059
2019-11-01,3140.979980
2019-12-01,3230.780029
2020-01-01,3225.520020
2020-02-01,2954.219971
2020-03-01,2584.590088
2020-04-01,2912.429932
2020-05-01,3044.310059
2020-06-01,3100.290039
2020-07-01,3271.120117
2020-08-01,3500.310059
2020-09-01,3363.000000
2020-10-01,3269.959961
2020-11-01,3621.629883
2020-12-01,3756.070068
2021-01-01,3714.239990
2021-02-01,3811.149902
2021-03-01,3972.889893
2021-04-01,4181.169922
2021-05-01,4204.109863
2021-06-01,4297.500000
2021-07-01,4395.259766
2021-08-01,4522.680176
2021-09-01,4307.540039
2021-10-01,4605.379883
2021-11-01,4567.000000
2021-12-01,4766.180176
2022-01-01,4515.549805
2022-02-01,4373.939941
2022-03-01,4530.410156
2022-04-01,4131.930176
2022-05-01,4132.149902
2022-06-01,3785.379883
2022-07-01,4130.290039
2022-08-01,3955.000000
2022-09-01,3585.620117
2022-10-01,3871.979980
2022-11-01,4080.110107
2022-12-01,3839.500000
2023-01-01,4076.600098
2023-02-01,3970.149902
2023-03-01,4109.310059
2023-04-01,4169.479980
2023-05-01,4179.830078
2023-06-01,4450.379883
2023-07-01,4588.959961
2023-08-01,4507.660156
2023-09-01,4288.049805
2023-10-01,4193.799805
2023-11-01,4567.799805
2023-12-01,4769.830078
2024-01-01,4739.209961
2024-01-17,4739.209961
